ts_code,datetime,close,open,high,low,vol,amount
002022.SZ,2026-03-17 10:25:00,6.08,6.07,6.08,6.07,326500.0,1982618.0
002022.SZ,2026-03-17 10:26:00,6.08,6.08,6.08,6.07,36200.0,220053.0
002022.SZ,2026-03-17 10:27:00,6.08,6.08,6.08,6.07,14600.0,88762.0
002022.SZ,2026-03-17 10:28:00,6.07,6.07,6.07,6.07,100.0,607.0
002022.SZ,2026-03-17 10:29:00,6.07,6.07,6.08,6.07,7300.0,44381.0
002022.SZ,2026-03-17 10:30:00,6.09,6.08,6.09,6.08,117500.0,714625.0
002022.SZ,2026-03-17 10:31:00,6.08,6.08,6.09,6.08,9200.0,55937.0
002022.SZ,2026-03-17 10:32:00,6.08,6.08,6.09,6.08,4900.0,29803.0
002022.SZ,2026-03-17 10:33:00,6.08,6.08,6.09,6.08,7100.0,43213.0
002022.SZ,2026-03-17 10:34:00,6.08,6.09,6.09,6.08,1800.0,10958.0
002022.SZ,2026-03-17 10:35:00,6.09,6.09,6.09,6.08,15100.0,91888.0
002022.SZ,2026-03-17 10:36:00,6.09,6.09,6.09,6.09,6300.0,38367.0
002022.SZ,2026-03-17 10:37:00,6.07,6.08,6.08,6.07,91500.0,556290.0
002022.SZ,2026-03-17 10:38:00,6.08,6.08,6.08,6.07,58100.0,352672.0
002022.SZ,2026-03-17 10:39:00,6.07,6.08,6.08,6.07,1700.0,10335.0
002022.SZ,2026-03-17 10:40:00,6.08,6.07,6.08,6.07,32500.0,197597.0
002022.SZ,2026-03-17 10:41:00,6.08,6.08,6.08,6.07,9900.0,60177.0
002022.SZ,2026-03-17 10:42:00,6.08,6.08,6.08,6.07,900.0,5471.0
002022.SZ,2026-03-17 10:43:00,6.07,6.07,6.07,6.07,1800.0,10926.0
002022.SZ,2026-03-17 10:44:00,6.07,6.08,6.08,6.07,9700.0,58915.0
002022.SZ,2026-03-17 10:45:00,6.08,6.07,6.08,6.07,5500.0,33430.0
002022.SZ,2026-03-17 10:46:00,6.07,6.07,6.07,6.07,500.0,3035.0
002022.SZ,2026-03-17 10:47:00,6.07,6.07,6.07,6.07,9500.0,57665.0
002022.SZ,2026-03-17 10:48:00,6.08,6.07,6.08,6.07,3600.0,21860.0
002022.SZ,2026-03-17 10:49:00,6.08,6.07,6.08,6.07,1200.0,7286.0
002022.SZ,2026-03-17 10:50:00,6.07,6.08,6.08,6.07,400.0,2431.0
002022.SZ,2026-03-17 10:51:00,6.07,6.07,6.08,6.07,25500.0,155036.0
002022.SZ,2026-03-17 10:52:00,6.07,6.07,6.07,6.07,1800.0,10926.0
002022.SZ,2026-03-17 10:53:00,6.07,6.07,6.07,6.07,29800.0,180886.0
002022.SZ,2026-03-17 10:54:00,6.07,6.08,6.08,6.06,89300.0,541991.0
002022.SZ,2026-03-17 10:55:00,6.07,6.07,6.07,6.06,60900.0,369659.0
002022.SZ,2026-03-17 10:56:00,6.07,6.07,6.07,6.06,19500.0,118359.0
002022.SZ,2026-03-17 10:57:00,6.07,6.07,6.07,6.07,5700.0,34599.0
002022.SZ,2026-03-17 10:58:00,6.07,6.07,6.08,6.07,19900.0,120873.0
002022.SZ,2026-03-17 10:59:00,6.07,6.07,6.08,6.07,17800.0,108050.0
002022.SZ,2026-03-17 11:00:00,6.06,6.07,6.07,6.06,12400.0,75250.0
002022.SZ,2026-03-17 11:01:00,6.05,6.06,6.06,6.05,140700.0,852595.0
002022.SZ,2026-03-17 11:02:00,6.05,6.06,6.06,6.05,5800.0,35145.0
002022.SZ,2026-03-17 11:03:00,6.05,6.06,6.06,6.05,41800.0,253295.0
002022.SZ,2026-03-17 11:04:00,6.05,6.06,6.06,6.05,10400.0,62923.0
002022.SZ,2026-03-17 11:05:00,6.05,6.06,6.06,6.05,500.0,3026.0
002022.SZ,2026-03-17 11:06:00,6.05,6.05,6.05,6.05,100.0,605.0
002022.SZ,2026-03-17 11:07:00,6.05,6.05,6.05,6.05,18400.0,111320.0
002022.SZ,2026-03-17 11:08:00,6.05,6.05,6.05,6.04,86100.0,520909.0
002022.SZ,2026-03-17 11:09:00,6.04,6.04,6.05,6.04,48600.0,293547.0
002022.SZ,2026-03-17 11:10:00,6.05,6.05,6.05,6.05,26500.0,160325.0
002022.SZ,2026-03-17 11:11:00,6.05,6.05,6.06,6.04,32300.0,195414.0
002022.SZ,2026-03-17 11:12:00,6.04,6.04,6.06,6.04,7800.0,47190.0
002022.SZ,2026-03-17 11:13:00,6.05,6.05,6.05,6.05,6600.0,39930.0
002022.SZ,2026-03-17 11:14:00,6.05,6.05,6.05,6.05,10400.0,62920.0
002022.SZ,2026-03-17 11:15:00,6.06,6.05,6.06,6.05,2390.0,14468.5
002022.SZ,2026-03-17 11:16:00,6.06,6.06,6.06,6.06,4300.0,26058.0
002022.SZ,2026-03-17 11:17:00,6.06,6.06,6.06,6.05,3600.0,21815.0
002022.SZ,2026-03-17 11:18:00,6.05,6.05,6.05,6.05,26700.0,161535.0
002022.SZ,2026-03-17 11:19:00,6.05,6.05,6.05,6.05,11300.0,68365.0
